ElNo,Date,Grade,Success,ExpR,UsualR,PredictedR,BestR,LastS,EstS,MeasuredS,BestS,NewSInc,NewS
35,May 14 2018 07:11:22,4,1,0.9405,0.995,0.9912,0.9912,0.8399,10.3202,71.795,43.1176,20,44.1176,
35,May 15 2018 05:57:02,4,1,0.995,0.995,0.995,0.995,43.1176,44.1176,19.9343,31.2125,0.8,32.1609,
35,Jun 06 2018 09:04:05,4,1,0.9301,0.995,0.9895,0.9895,31.2125,32.1609,221.394,133.1124,4.2647,134.1124,
36,May 14 2018 07:03:13,4,1,0.95,0.995,0.9933,0.9933,36.1681,36.1681,274.9495,163.5919,4.5231,164.5919,
36,May 15 2018 05:57:35,4,1,0.995,0.9947,0.9947,0.9947,163.5919,164.5919,18.9825,86.9143,0.8,87.8687,
37,May 14 2018 07:15:04,1,0,0.0707,0.995,0.8201,0.8201,0.7,0.7,9.3525,5.3257,2,1,
37,May 15 2018 05:52:25,4,1,0.9055,0.8274,0.8414,0.8414,5.3257,1,0.7,0.84,0.8,2.5321,
37,May 21 2018 07:07:31,4,1,0.7774,0.995,0.9288,0.9288,0.84,2.5321,8.6291,5.8059,6.9119,12.8194,
37,Jun 16 2018 09:29:45,2,0,0.8069,0.8642,0.8527,0.8527,5.8059,12.8194,17.259,15.193,2,1,
38,May 14 2018 07:12:10,4,1,0.95,0.995,0.9933,0.9933,36.1681,36.1681,275.7564,164.0232,4.535,165.0232,
38,May 15 2018 05:50:08,4,1,0.995,0.9947,0.9947,0.9947,164.0232,165.0232,18.7517,86.9918,0.8,87.9348,
40,May 14 2018 07:06:47,1,0,0.1422,0.995,0.8865,0.8865,0.9504,0.9504,15.3823,8.6655,2,1,
40,May 15 2018 05:55:57,4,1,0.9047,0.7504,0.7693,0.7693,8.6655,1,0.7,0.84,0.8,5.0207,
40,May 21 2018 07:06:05,2,0,0.8808,0.8637,0.866,0.866,0.84,5.0207,4.4285,4.7042,2,1.9442,
40,May 22 2018 08:31:11,4,1,0.9442,0.7548,0.7773,0.7773,4.7042,1.9442,0.7,1.2805,0.8,4.1992,
40,May 25 2018 06:47:35,4,1,0.9292,0.8634,0.8718,0.8718,1.2805,4.1992,2.2483,3.1585,2.4667,8.6294,
40,May 31 2018 12:22:50,4,1,0.9267,0.8725,0.8782,0.8782,3.1585,8.6294,5.0556,6.7229,2.1285,16.4913,
40,Jun 09 2018 20:08:51,2,0,0.9422,0.995,0.9732,0.9732,6.7229,16.4913,36.2261,24.5822,2,2.1157,
40,Jun 13 2018 16:30:57,4,1,0.8256,0.7587,0.7664,0.7664,24.5822,2.1157,1.5243,1.944,0.8,9.2095,
44,May 14 2018 07:00:26,4,1,0.9675,0.995,0.9937,0.9937,55.9639,55.9639,292.8455,182.3611,3.2585,183.3611,
44,May 15 2018 05:55:02,4,1,0.995,0.9947,0.9948,0.9948,182.3611,183.3611,19.2827,95.8456,0.8,96.8001,
44,May 19 2018 09:35:36,4,1,0.9942,0.995,0.995,0.995,-1,55.9639,64.8585,60.7086,-1,61.7086,
44,Jun 13 2018 16:34:02,4,1,0.9577,0.995,0.9932,0.9932,60.7086,61.7086,393.3935,238.6922,3.9318,239.6922,
45,May 03 2018 13:35:00,1,0,0.3587,0.995,0.8414,0.8414,0.7,0.7,4.1563,2.5478,2,2.5728,
45,May 04 2018 07:16:41,3,1,0.9703,0.995,0.9817,0.9817,2.5478,2.5728,4.2007,3.441,1.3506,4.1782,
45,May 07 2018 07:18:55,4,1,0.6948,0.899,0.8497,0.8497,-1,0.7,1.5655,1.2833,-1,4.2735,
45,May 14 2018 06:56:46,2,0,0.8418,0.995,0.9125,0.9125,1.2833,4.2735,8.0381,6.286,2,2.0543,
45,May 15 2018 05:49:14,4,1,0.9523,0.8214,0.853,0.853,6.286,2.0543,0.7,1.3319,0.8,2.7545,
45,May 17 2018 11:52:22,4,1,0.9175,0.995,0.9532,0.9532,1.3319,2.7545,4.9558,3.9285,2.9495,6.8789,
45,May 22 2018 08:31:27,4,1,0.9283,0.995,0.9591,0.9591,3.9285,6.8789,12.2514,9.7442,2.4804,11.6519,
45,May 30 2018 09:06:46,4,1,0.93,0.995,0.96,0.96,9.7442,11.6519,20.7138,16.4848,1.6918,18.3011,
45,Jun 13 2018 16:34:06,4,1,0.9209,0.995,0.9478,0.9478,16.4848,18.3011,28.1474,23.5523,1.4287,29.549,
46,Apr 30 2018 16:09:33,4,1,0.9914,0.995,0.9948,0.9948,47.8656,47.8656,79.4108,64.696,1.3516,65.696,
46,May 05 2018 07:46:29,4,1,0.9926,0.995,0.9949,0.9949,64.696,65.696,95.3785,81.5322,1.2602,82.5322,
46,May 14 2018 07:11:09,4,1,0.9886,0.995,0.9936,0.9936,81.5322,82.5322,148.3082,117.6137,1.4425,118.6137,
46,May 15 2018 05:55:31,4,1,0.995,0.995,0.995,0.995,117.6137,118.6137,19.9155,65.9667,0.8,66.9142,
47,May 13 2018 08:27:36,2,0,0.0822,0.995,0.9615,0.9615,0.7,0.7,44.5983,24.1667,2,1,
47,May 14 2018 07:10:30,2,0,0.9051,0.6268,0.6369,0.6369,24.1667,1,0.7,0.8424,0.5,1,
47,May 15 2018 05:56:29,2,0,0.9049,0.6197,0.63,0.63,0.8424,1,0.7,0.8424,0.9999,1.2376,
47,May 16 2018 06:56:50,4,1,0.9151,0.626,0.6362,0.6362,0.8424,1.2376,0.7,0.9507,1.1286,3.2002,
47,May 23 2018 06:51:41,2,0,0.7943,0.9334,0.9246,0.9246,0.9507,3.2002,9.4059,6.5176,2,1,
47,May 24 2018 07:27:11,4,1,0.8977,0.6366,0.6458,0.6458,6.5176,1,0.7,0.8488,0.8,2.6915,
47,May 27 2018 07:32:05,4,1,0.8891,0.7672,0.7747,0.7747,0.8488,2.6915,1.2397,1.9728,2.3241,7.5493,
47,Jun 02 2018 11:53:49,4,1,0.9173,0.9541,0.9503,0.9503,1.9728,7.5493,12.784,10.3417,5.2422,16.4325,
47,Jun 13 2018 16:33:52,4,1,0.9307,0.995,0.9828,0.9828,10.3417,16.4325,68.1519,44.0188,4.2564,45.0188,
48,May 14 2018 06:54:04,2,0,0.102,0.995,0.9675,0.9675,0.8092,0.8092,55.8419,30.2279,2,1,
48,May 15 2018 05:54:50,4,1,0.9039,0.7917,0.7951,0.7951,30.2279,1,0.7,0.8399,0.8,10.3369,
48,May 21 2018 07:05:19,4,1,0.9402,0.995,0.9913,0.9913,0.8399,10.3369,72.7363,43.6278,20,44.6278,
49,Apr 30 2018 16:10:08,2,0,0.8417,0.7107,0.7253,0.7253,0.7,0.7,0.7,0.7,1,2.2924,
49,May 01 2018 16:43:30,2,0,0.9541,0.8112,0.8288,0.8288,0.7,2.2924,0.7,1.3745,1.9636,1,
49,May 02 2018 12:00:03,4,1,0.9189,0.7018,0.7252,0.7252,1.3745,1,0.7,0.84,0.8,3.8761,
49,May 07 2018 07:18:44,4,1,0.8776,0.8574,0.8598,0.8598,0.84,3.8761,3.35,3.6623,4.3601,14.156,
49,May 14 2018 06:52:56,2,0,0.9494,0.8704,0.8784,0.8784,3.6623,14.156,5.6726,9.2205,2,1,
49,May 15 2018 05:48:46,4,1,0.9042,0.7155,0.7353,0.7353,9.2205,1,0.7,0.84,0.8,4.9604,
49,May 17 2018 11:52:32,4,1,0.9533,0.8451,0.8575,0.8575,0.84,4.9604,1.5436,3.1377,3.7355,6.0644,
49,May 22 2018 08:31:00,4,1,0.919,0.8427,0.8503,0.8503,3.1377,6.0644,3.1566,4.5132,1.4384,12.9013,
49,May 30 2018 09:08:13,4,1,0.9366,0.8653,0.8721,0.8721,4.5132,12.9013,6.1815,9.3165,2.0643,18.8324,
49,Jun 13 2018 16:30:51,1,0,0.9231,0.995,0.9685,0.9685,9.3165,18.8324,47.0994,32.1088,2,1,
51,May 10 2018 07:05:44,1,0,0.1306,0.9012,0.872,0.872,0.7,0.7,10.4064,5.889,2,1,
51,May 11 2018 07:57:22,4,1,0.8966,0.8305,0.8329,0.8329,5.889,1,0.7,0.8495,0.8,1.9889,
51,May 14 2018 07:02:46,3,1,0.8548,0.8362,0.8369,0.8369,0.8495,1.9889,1.7524,1.9311,2.2733,4.6778,
51,May 15 2018 05:51:48,4,1,0.9788,0.8168,0.8301,0.8301,1.9311,4.6778,0.7,2.5556,1.3234,3.5063,
51,May 28 2018 10:10:07,1,0,0.673,0.8945,0.8767,0.8767,2.5556,3.5063,10.553,7.2735,2,1,
51,May 29 2018 09:28:23,4,1,0.9028,0.8344,0.8369,0.8369,7.2735,1,0.7,0.8399,0.8,1.9327,
51,May 31 2018 12:22:59,4,1,0.8908,0.8375,0.8394,0.8394,0.8399,1.9327,1.2768,1.61,1.9169,3.771,
51,Jun 06 2018 09:04:18,4,1,0.8489,0.8536,0.8532,0.8532,1.61,3.771,3.8904,3.9642,2.4622,8.7243,
53,Apr 28 2018 16:30:27,2,0,0.7496,0.6964,0.6983,0.6983,0.7,0.7,0.7,0.7,1,1.3777,
53,Apr 29 2018 11:16:01,2,0,0.942,0.6138,0.6251,0.6251,0.7,1.3777,0.7,0.9831,1.4043,1,
53,Apr 30 2018 16:09:08,4,1,0.8809,0.6401,0.6483,0.6483,0.9831,1,0.7,0.8596,0.8744,4.438,
53,May 07 2018 07:21:59,2,0,0.8543,0.8295,0.8311,0.8311,0.8596,4.438,3.7768,4.0846,2,1,
53,May 08 2018 07:00:09,4,1,0.9014,0.6363,0.6453,0.6453,4.0846,1,0.7,0.8399,0.8,2.6219,
53,May 11 2018 07:58:25,4,1,0.885,0.7812,0.7874,0.7874,0.8399,2.6219,1.3404,1.9963,2.3769,7.8742,
53,May 14 2018 07:10:01,4,1,0.9611,0.9831,0.9809,0.9809,1.9963,7.8742,16.2312,12.3322,6.1775,13.3322,
53,May 15 2018 05:56:54,3,1,0.9925,0.995,0.9948,0.9948,12.3322,13.3322,19.0462,16.38,1.3282,17.3292,
53,May 20 2018 07:47:24,4,1,0.9696,0.995,0.9904,0.9904,16.38,17.3292,55.6943,37.7925,2.3072,38.7925,
53,May 28 2018 10:10:35,4,1,0.9782,0.995,0.9921,0.9921,37.7925,38.7925,108.1275,75.7746,2.005,76.7746,
53,Jun 09 2018 20:05:14,3,1,0.9831,0.995,0.9886,0.9886,75.7746,76.7746,114.0414,96.6485,1.2755,97.6485,
54,May 14 2018 07:01:28,4,1,0.9502,0.995,0.9933,0.9933,36.1681,36.1681,275.5973,163.939,4.5327,164.939,
54,May 15 2018 05:52:55,3,1,0.995,0.9947,0.9947,0.9947,163.939,164.939,18.9339,87.0491,0.8,88.0015,
55,May 11 2018 07:57:56,2,0,0.1118,0.995,0.9682,0.9682,0.7,0.7,47.5186,25.7278,2,1,
55,May 12 2018 09:04:27,4,1,0.8956,0.7973,0.8002,0.8002,25.7278,1,0.7,0.85,0.8,10.7867,
55,May 14 2018 06:54:45,4,1,0.9815,0.995,0.9941,0.9941,0.85,10.7867,34.013,23.1781,20,24.1781,
55,May 15 2018 05:53:16,2,0,0.995,0.9478,0.9517,0.9517,23.1781,24.1781,2.0376,9.9889,0.5,1,
55,May 16 2018 06:56:20,4,1,0.8959,0.8001,0.8029,0.8029,9.9889,1,0.7,0.8499,0.8,10.8622,
55,May 19 2018 09:35:44,4,1,0.9703,0.995,0.9934,0.9934,0.8499,10.8622,49.3641,31.4036,20,32.4036,
55,May 25 2018 06:47:43,4,1,0.9811,0.9589,0.9607,0.9607,31.4036,32.4036,15.4666,23.3673,0.8,24.3673,
